pid,age,des1,des1seen,des1name,des2,des2seen,des2name,des3,des3seen,des3name,des4,des4seen,des4name,des5,des5seen,des5name,des6,des6seen,des6name,des7,des7seen,des7name,des8,des8seen,des8name,des9,des9seen,des9name,des10,des10seen,des10name,des11,des11seen,des11name,des12,des12seen,des12name,des13,des13seen,des13name,des14,des14seen,des14name,des15,des15seen,des15name,des16,des16seen,des17,des17seen,des18
ind53,19,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,"no, no",n,
ind54,28,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, yes seen",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,"no, no",n,
ind55,18,"Manulua, yes seen",y,manulua,"tokelau feletoa, yes seen",y,tokelau feletoa,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,"no, no",n,
ind56,19,"no, seen yes",y,no,"no, yes seen natu",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, yes seen dart board",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, yes seen natu",y,"no, yes seen natu",y,
ind57,61,"yes, ngatu",y,no,"yes, ngatu",,no,"yes, ngatu",y,no,"yes, ngatu",,no,no,n,no,"yes, ngatu",y,no,"yes, ngatu",y,no,no,n,no,no,n,no,"yes, ngatu",y,no,no,n,no,no,n,no,"yes, ngatu, kato",y,no,"yes, ngatu",y,no,"yes, ngatu",y,no,NA,,NA,,
ind58,32,"yes, ngatu, sote, kofu",y,no,"yes, ngatu, sote, kofu",,no,"yes, ngatu",y,no,"yes, ngatu",,no,"yes, ngatu",y,no,"yes, ngatu",y,no,"yes, ngatu",y,no,no,n,no,"yes, ngatu",y,no,"yes, ngatu",y,no,"yes, ngatu",y,no,no,n,no,"yes, ngatu",y,no,"yes, ngatu",y,no,"yes, ngatu",y,no,NA,,NA,,
ind59,67,"yes, manulua, ngatu, koka'anga, vala",y,manulua,"yes, tokelau feletoa, ngatu, tupenu",,tokelau feletoa,"yes, no name, ngatu",y,no,"yes, no name, ngatu",,no,"yes, ngatu",y,no,"yes, ngatu, no name",y,no,"yes, ngatu, no name",y,no,no,n,no,"yes, ngatu, matala'I akau? mahalo pe",y,no,"yes, ngatu, faka'ofa'ofa",y,no,"yes, ngatu, faka'ofa'ofa",y,no,"yes, fo'i koli, fo'i hea (three dots)",y,"fo'i hea, fo'i koli","yes, manulua, ngatu, ta tupenu",y,manulua,"yes, ngatu",y,no,"yes, ngatu, ke faka'ofa'ofa",y,no,NA,,NA,,
ind60,49,"yes, ngatu, manulua",y,manulua,"yes, tokelau feletoa",,tokelau feletoa,"yes, sio pe",y,no,no,,no,no,n,no,"yes, sio pe, ngalo hingoa",y,no,"yes, sio pe, ngalo hingoa",y,no,no,n,no,"yes, sio pe",y,no,"yes, sio pe",y,no,no,n,no,"yes, sio pe ngatu",y,no,"yes, sio pe",y,no,"yes, sio pe",y,no,"yes, sio pe",y,no,no,n,NA,,
ind61,38,"yes, tiles",y,no,"yes, tatoo",,no,"yes, tiles",y,no,no,,no,no,n,no,"yes, paint on a house",y,no,"yes, tapa",y,no,no,n,no,"yes, temipale india, australia",y,no,"yes, tapa",y,no,"no, remembers Samoan tattoo",n,no,no,n,no,"yes, tiles",y,no,"yes, tapa",y,no,"yes, tatoo, Tahiti, family together, great-grandparents",y,no,"yes, tapa",y,NA,,
ind62,27,"yes, ngatu",y,no,"yes, ngatu",,no,no,n,no,no,,no,no,n,no,"yes, ngatu",y,no,"yes, ngatu",y,no,no,n,no,no,n,no,no,n,no,no,n,no,no,n,no,"yes, ngatu",y,no,no,n,no,no,n,no,"yes, ta'ovala",y,NA,,
ind63,19,no,n,no,no,,no,no,n,no,no,,no,no,n,no,no,n,no,no,n,no,no,n,no,no,n,no,no,n,no,no,n,no,no,n,no,no,n,no,no,n,no,no,n,no,no,n,NA,,
ind64,76,"yes, ngatu",y,no,"yes, ngatu",,no,"yes, ngatu",y,no,no,,no,"yes, ngatu",y,no,"yes, ngatu",y,no,"yes, ngatu",y,no,no,n,no,no,n,no,no,n,no,no,n,no,no,n,no,no,n,no,"yes, ngatu",y,no,no,n,no,no,n,NA,,
ind65,36,"yes, 'ako",y,no,"yes, 'ako, ngatu",,no,"yes, ngatu",y,no,"yes, ngatu",,no,no,n,no,"yes, ngatu",y,no,"yes, kato, fakaueili",y,fakaueili,no,n,no,no,n,no,"yes, ngatu",y,no,"yes, kato kosi, ngatu",y,no,no,n,no,"yes, ngatu",y,no,"yes, ngatu",y,no,no,n,no,no,n,NA,,
ind66,27,"yes, ngatu",y,no,"yes, tokelau feletoa, textbook",,tokelau feletoa,"yes, computer, border for project",y,no,no,,no,no,n,no,"yes, ngatu",y,no,"yes, ngatu",y,no,no,n,no,"yes, ngatu",y,no,no,n,no,no,n,no,"yes, ngatu",y,no,no,n,no,no,n,no,"yes, ngatu",y,no,no,n,NA,,
ind67,36,"yes, tokelau feletoa, ngatu",y,tokelau feletoa,"yes, manulua, tohi ngatu",,manulua,yes,y,no,no,,no,no,n,no,"yes, ngatu",y,no,"yes, ngatu",y,no,no,n,no,"yes, ngatu",y,no,no,n,no,no,n,no,no,n,no,"yes, ngatu",y,no,no,n,no,no,n,no,no,n,NA,,
ind68,44,"yes, 'ako",y,no,"yes, tokelau feletoa, 'ako",,tokelau feletoa,"yes, 'ako",y,no,"yes, 'ako",,no,"yes, Pangai kafa, 'ako",y,pangai kafa,"es, kālōu, 'ako",y,kaaloou,"yes, 'ako pe",y,no,no,n,no,"yes, 'ako pe",y,no,"yes, sio pe 'ako",y,no,"yes, sio pe, va'e Ha'amoa tā",y,no,"yes, fo'i hea, 'ako pe",y,fo'i hea,"yes, sio pe, 'ako, ngalo",y,no,"yes, sio pe, 'ako, ngalo",y,no,no,n,no,no,n,NA,,
ind69,36,"yes, manulua",y,manulua,"yes, tokelau feleto",,tokelau feletoa,"yes, manulua (different square style)",y,manulua,"no, manulua? (different square style)",,no,"yes, sio pe",y,no,"yes, sio pe",y,no,"yes, hokohoko fata 'o Tu'i Tonga",y,no,no,n,no,"yes, sio pe",y,no,"yes, sio pe, with the Samoan",y,no,"yes, ngatu",y,no,"yes, fo'i hea",y,fo'i hea,"yes, hokohoko manulua, lahi hokohoko",y,manulua,"yes, fata 'o Tu'i Tonga",y,fata 'o Tu'i Tonga,"yes, kālou",y,kaalou,"yes, sio pe, ngatu",y,NA,,
ind70,58,"yes, manulua, lalanga, ta'olunga",y,manulua,"yes, tokelau feletoa",,tokelau feletoa,"yes, sio pe, ngatu",y,no,"yes, sio pe",,no,"yes, ""la'i mā"", me'a lalanga",y,la'i maa,"yes, pulevaimau, lalanga pe",y,pulevaimau,"yes, ngatu, sio pe",y,no,no,n,no,"yes, ngatu pe, sio",y,no,"yes, kapukaisivahe, lalanga pe",y,kapukaisivahe,"yes, sio pe ngatu",y,no,"yes, lalanga pe, sio pe",y,no,"yes, manulua put together",y,manulua,"yes, sio pe, ngatu",y,no,"yes, sio pe, ngatu",y,no,no,n,NA,,
